Site,Camera,Position,Date,Model,Weather,Min_Temp,Wind_Speed,Rainfall,Moon_Phase,Individual,Species,Size,Sex,Joey,Total,First,Last,V_low,V_mid,V_high,V_toward,V_away,L_towards,L_away,L_across,<5m,5-10m,10-15m,>15m,Grazing,Social,Fighting,Grooming,Investigating,Sniffing,At_Other,Out,Pref_Dist,Pref_Dist2,T_Loc
D1,DC1,Front,21/6/2024,Fox,,4,17,1,0.9752,1,Rabbit,M,,,3,11:56:14 PM,11:56:16 PM,0,0,0,0,0,0,0.333333333,0.666666667,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1
D1,DC1,Front,22/6/2024,Fox,,4,17,1,0.9752,2,Wallaby,L,M,,9,3:51:01 AM,3:58:52 AM,0,0,0,0,0,0,0,0.222222222,0,1,0,0,0.888888889,0,0,0,0,0,0,0,5-10m,0,0.222222222
D1,DC1,Front,22/6/2024,Thylacine,,0.8,15,0,1,3,Wallaby,L,M,,6,8:59:14 PM,8:59:21 PM,0,0.5,0,0,0.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,0.5
D1,DC1,Front,22/6/2024,Thylacine,,0.8,15,0,1,4,Wallaby,L,M,,5,8:59:15 PM,8:59:21 PM,0,0,0,0,0,0,0,0.8,0,1,0,0,0,0,0,0,0,0,0,0.2,5-10m,0,0.8
D1,DC1,Front,23/6/2024,Thylacine,,0.8,15,0,1,5,Rabbit,M,,,1,6:51:43 AM,6:51:43 AM,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1
D1,DC1,Front,23/6/2024,Thylacine,,0.8,15,0,1,6,Rabbit,M,,,1,6:51:45 AM,6:51:45 AM,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,<5m,0,1
D1,DC1,Front,23/6/2024,Thylacine,,0.8,15,0,1,7,Rabbit,M,,,2,6:52:29 AM,6:52:30 AM,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,<5m,0,1
D1,DC1,Front,23/6/2024,Control,,4.7,22,0,0.9965,8,Rabbit,M,,,3,7:42:02 PM,7:42:04 PM,0,0.333333333,0,0,0.333333333,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,0.666666667
D1,DC1,Front,26/6/2024,Control,,5.1,28,8.2,0.8477,9,Fox,L,,,3,7:40:51 PM,7:40:53 PM,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1
D1,DC1,Front,27/6/2024,Control,,5.1,28,8.2,0.8477,10,Rabbit,M,,,9,12:51:57 AM,12:52:30 AM,0,0.555555556,0,0,0.555555556,0,0.333333333,0.111111111,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,0.444444444
D1,DC1,Front,27/6/2024,Control,,5.1,28,8.2,0.8477,11,Rabbit,M,,,9,12:51:57 AM,12:52:30 AM,0,0.777777778,0,0,0.777777778,0,0,0,0,1,0,0,0.222222222,0,0,0,0,0,0,0,5-10m,0,0
D1,DC1,Front,27/6/2024,Control,,5.1,28,8.2,0.8477,12,Rabbit,L,,,6,1:19:34 AM,1:19:43 AM,0,0.333333333,0,0,0.333333333,0,0,0.5,0,1,0,0,0.166666667,0,0,0,0,0,0,0,5-10m,0,0.5
D1,DC1,Front,27/6/2024,Control,,5.1,28,8.2,0.8477,13,Rabbit,M,,,3,2:15:23 AM,2:15:25 AM,0,0.333333333,0,0,0.333333333,0,0,0.333333333,0,1,0,0,0.333333333,0,0,0,0,0,0,0,5-10m,0,0.333333333
