Site,Camera,Position,Date,Model,Weather,Min_Temp,Wind_Speed,Rainfall,Moon_Phase,Individual,Species,Size,Sex,Joey,Total,First,Last,V_low,V_mid,V_high,V_toward,V_away,L_towards,L_away,L_across,<5m,5-10m,10-15m,>15m,Grazing,Social,Fighting,Grooming,Investigating,Sniffing,At_Other,Out,Pref_Dist,Pref_Dist2,T_loc
L1,LC1,Front,11/3/2024,Fox,Rainy,9.6,13,6.2,0.017,1,Wombat,,,,18,22:19:16,22:20:42,0,0.055555556,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.944444444,<5m,0,0
L1,LC1,Front,12/3/2024,Fox,Rainy,9.6,13,6.2,0.017,2,Pademelon,,,,13,05:24:06,05:37:08,0,0.461538462,0,0.153846154,0,0,0.076923077,0,0.846153846,0.153846154,0,0,0.307692308,0,0,0,0,0,0,0,<5m,0,0.076923077
L1,LC1,Front,12/3/2024,Thylacine,Cloudy,4.8,11,0.6,0.063,3,Wombat,,,,33,23:08:49,23:11:44,0.03030303,0.212121212,0,0.151515152,0.090909091,0.272727273,0.151515152,0.090909091,0.818181818,0.181818182,0,0,0.151515152,0,0,0,0,0,0,0.303030303,<5m,0,0.515151515
L1,LC1,Front,13/3/2024,Thylacine,Cloudy,4.8,11,0.6,0.063,4,Pademelon,,,,3,03:46:15,03:46:17,0,0,0,0,0,0,0.666666667,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0.666666667,,,0.666666667
L1,LC1,Front,13/3/2024,Thylacine,Cloudy,4.8,11,0.6,0.063,5,Pademelon,,,,9,03:52:24,03:52:30,0.111111111,0.111111111,0,0,0.222222222,0,0.111111111,0.666666667,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,0.777777778
L1,LC1,Front,13/3/2024,Thylacine,Cloudy,4.8,11,0.6,0.063,6,Pademelon,,,,4,04:20:16,04:21:37,0,0,0,0,0,0,0.25,0,0,0.75,0.25,0,0.75,0,0,0,0,0,0,0,5-10m,0,0.25
L1,LC1,Front,13/3/2024,Thylacine,Cloudy,4.8,11,0.6,0.063,7,Pademelon,,,,1,05:18:40,05:18:40,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1
L1,LC1,Front,13/3/2024,Control,Clear,1.5,13,0.2,0.133,8,Rabbit,,,,26,21:09:06,21:10:14,0,0.269230769,0.076923077,0.230769231,0.115384615,0.076923077,0.115384615,0.269230769,1,0,0,0,0.115384615,0,0,0,0.115384615,0,0,0.076923077,<5m,0,0.461538462
L1,LC1,Front,14/3/2024,Control,Clear,1.5,13,0.2,0.133,9,Wombat,,,,15,05:04:35,05:04:54,0,0.266666667,0,0.133333333,0.133333333,0,0.466666667,0.266666667,0,1,0,0,0.2,0,0,0,0,0,0,0,5-10m,0,0.733333333
L1,LC1,Front,15/3/2024,Goat,Clear,-2.2,13,0,0.2208,10,Devil,,,,3,02:13:53,02:13:55,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1
L1,LC1,Front,15/3/2024,Thylacine,Clear,0.6,11,0,0.3295,11,Spotted Quoll,,,,1,23:33:41,23:33:41,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1
L1,LC1,Front,15/3/2024,Thylacine,Clear,0.6,11,0,0.3295,12,Pademelon,,,,12,22:59:08,22:59:51,0.166666667,0,0,0,0.166666667,0.083333333,0,0.166666667,0.5,0.5,0,0,0.75,0,0,0,0,0,0,0,,,0.25
