Site,Camera,Position,Date,Model,Weather,Min_Temp,Wind_Speed,Rainfall,Moon_Phase,Individual,Species,Size,Sex,Joey,Total,First,Last,V_low,V_mid,V_high,V_toward,V_away,L_towards,L_away,L_across,<5m,5-10m,10-15m,>15m,Grazing,Social,Fighting,Grooming,Investigating,Sniffing,At_Other,Out,Pref_Dist,Pref_Dist2,T_loc,,,,,,,,
Q1,QC1,Front,21/4/2024,Thylacine,,0.7,2,0,0.9453,918,Possum,M,F,,3,22:45:08,22:45:10,0,0,0,0,0,0,0,1,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,<5m,0,1,,,,,,,,
Q1,QC1,Front,21/4/2024,Thylacine,,0.7,2,0,0.9453,919,Possum,S,J,,6,22:45:08,22:45:12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,<5m,0,1,,,,,,,,
Q1,QC1,Front,23/4/2024,Goat,,6.8,17,0,0.9982,920,Wallaby,M,,,3,23:31:02,23:31:04,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1,,,,,,,,
Q1,QC1,Front,24/4/2024,Thylacine,,6.6,7,10.2,1,921,Wallaby,M,,,1,20:10:23,20:10:23,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10-15m,1,1,,,,,,,,
Q1,QC1,Front,25/4/2024,Control,,2,0,0,0.976,922,Wallaby,M,,,6,21:41:00,21:43:05,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0.5,<5m,0,0,,,,,,,,
Q1,QC1,Front,26/4/2024,Goat,,-0.3,0,0,0.9353,923,Wallaby,S,,,18,20:37:34,20:40:53,0.166666667,0,0,0,0.166666667,0,0,0.166666667,1,0,0,0,0.5,0,0,0,0,0,0,0.166666667,<5m,0,0.166666667,,,,,,,,
Q1,QC1,Front,27/4/2024,Fox,,3.6,0,0,0.8757,924,Wallaby,M,F,,9,18:46:57,18:48:23,0.111111111,0.222222222,0,0.222222222,0.111111111,0,0,0.555555556,0,0,1,0,0,0,0,0,0.111111111,0.111111111,0,0,10-15m,1,0.555555556,,,,,,,,
Q1,QC1,Front,27/4/2024,Fox,,3.6,0,0,0.8757,925,Wallaby,S,J,,11,18:46:57,18:48:24,0.090909091,0.272727273,0,0.272727273,0.090909091,0,0,0.454545455,0,0,1,0,0,0.090909091,0,0,0.181818182,0,0,0.090909091,10-15m,1,0.454545455,,,,,,,,
Q1,QC2,Right,22/4/2024,Thylacine,,0.7,2,0,0.9453,926,Wallaby,M,M,,42,00:46:54,00:50:33,0.071428571,0.285714286,0.023809524,0.30952381,0.071428571,0,0,0.047619048,1,0,0,0,0.428571429,0,0,0,0.30952381,0,0,0.166666667,<5m,0,0.047619048,,,,,,,,
Q1,QC2,Right,24/4/2024,Thylacine,,6.6,7,10.2,1,927,Wallaby,M,F,,3,19:24:51,19:24:53,0.333333333,0.333333333,0,0.666666667,0,0,0,0.333333333,0,1,0,0,0,0,0,0,0.666666667,0,0,0,5-10m,0,0.333333333,,,,,,,,
